id,name,type,message,assoc,mult,prior,w1,v1,a1,d1,w2,v2,a2,d2,author,astate1,apos1,apre,astate2,apos2,apost,object,ostate1,opos1,opre,ostate2,opos2,opost,target,tstate1,tpos1,tpre,tstate2,tpos2,tpost,
1,fall,_unattended,falls off the table,-,0,0.1,0,0,0,0,0,0,0,0,movable,-,edge,-,-,floor,notable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,rat-run,_unattended,the rat jumps on the <position>,-,0,0.1,0,0,0,0,0,0,0,0,rat,alive,not trash,-,-,random,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,drop,auxiliary,leaves <object> <pos>,-,0,0.1,0,0,0,0,0,0,0,0,-,present,standing,called,-,-,-,inhands,-,-,-,-,-,not inhands,-,-,-,-,-,-,-,-
4,rip,auxiliary,rips the <object> off the hanger,-,0,0.1,0.1,-0.7,0.7,0.9,0,0,0,0,-,present,standing,called,-,-,-,hangable,hanger,hanging,walkto,nohanger,floor,inhands,-,-,-,-,-,-,-,-
5,shot,auxiliary,is shot dead,-,0,0.1,0,0,0,0,0,0,0,0,-,present,not trash,called,-,-,endshow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,take,auxiliary,takes the <object>,-,0,0.1,0,0,0,0,0,0,0,0,-,present,standing,called,-,-,-,pickable,-,-,access,-,-,inhands,-,-,-,-,-,-,-,-
7,walkto,auxiliary,walks to the <object>,-,0,0.1,0,0,0,0,0,0,0,0,-,present,not trash,called,-,standing,-,movable,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,banana-peel,involuntary,"slipped on banana peel, falls down, gets up",-,0,0.1,0.5,-1,1,-1,0,0,0,0,-,present,standing,-,-,-,-,banana,eaten,floor,-,-,-,-,-,-,-,-,-,-,-,-
9,chandelier,involuntary,"bumped his head off the chandelier, ouch",-,0,0.1,0.3,-0.4,0.5,-0.3,0,0,0,0,-,present,standing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,gun-step,involuntary,"stepped on the shotgun, the gun shoots",-,0,0.1,0.4,-0.6,0.7,-0.3,0,0,0,0,-,present,standing,-,-,-,-,shotgun,loaded,floor,-,-,-,-,-,-,-,-,-,-,-,-
11,hammer-st,involuntary,"stumbled on the hammer, screams of pain",-,0,0.1,0.3,-0.5,0.5,-0.5,0,0,0,0,-,present,standing,-,-,-,-,hammer,-,floor,-,-,-,-,-,-,-,-,-,-,-,-
12,notice,involuntary,notices <object> motion,-,0,0.1,0.1,0,0.2,-0.1,0,0,0,0,-,present,not trash,-,-,-,-,notable,-,floor,-,-,-,-,-,-,-,-,-,-,-,-
13,rake-step,involuntary,"stepped on the rake, hurt his head, ouch!",-,0,0.1,0.5,-1,0.9,-0.5,0,0,0,0,-,present,standing,-,-,-,-,rake,-,floor,-,-,-,-,-,-,-,-,-,-,-,-
14,vodka-st,involuntary,"stumbled on the bottle of vodka, the bottle rolls",-,0,0.1,0.2,-0.3,0.3,-0.2,0,0,0,0,-,present,standing,-,-,-,-,vodka,-,floor,-,-,-,-,-,-,-,-,-,-,-,-
15,beg,other-direct,begs <target> for forgiveness,engaged,0,0.1,0.6,1,-0.5,-1,0.6,1,-0.5,1,-,present,not trash,-,-,-,responded,-,-,-,-,-,-,-,agent,present,not trash,-,-,-,engaged,-
