06.24.2022 03:51:16.181,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown ,,,Appraisals,,,Feelings,,
06.24.2022 03:51:16.229,4.570128,Whitehair,Whitehair,33,Whitehair ignores agent's greeting,-0.040000001,0.004,-0.040000001,-0.056000001,0.0056,-0.056000001,NAN,,Valence,Arousal,Dominance,Valence,Arousal,Dominance
06.24.2022 03:51:17.574,5.914793,Whitehair,Whitehair,29,Whitehair slaps agent into the face,-0.067442002,0.019991201,-0.040352001,-0.094418802,0.027987681,-0.056492801,NAN,!@.=0G,-0.317522297,0.398182195,-0.040821521,-0.4261594,0.562606034,-0.056324998
06.24.2022 03:51:18.591,6.932602,Whitehair,Whitehair,27,Whitehair points finger at agent,-0.068767582,0.020791289,-0.039948481,-0.096274614,0.029107804,-0.055927873,NAN,0:A,-0.040000001,0.621872076,-0.001453362,0,1,0
06.24.2022 03:51:19.608,7.949297,Whitehair,Whitehair,26,Whitehair pats agent on a shoulder,-0.10395671,0.018720041,-0.079567037,-0.145539394,0.026208057,-0.111393851,NAN,8=,-0.487134364,0.004,-0.128014693,-0.68198811,0.0056,-0.17922057
06.24.2022 03:51:20.626,8.967261,Whitehair,-,37,Whitehair crawls into the trash,-0.208345752,0.133039155,-0.070297477,-0.291684053,0.186254817,-0.098416468,NAN,!@.B:;,0.06180569,0.112482684,0.01862814,0.096746382,0.162344253,0.026715314
06.24.2022 03:51:21.641,9.98217,Whitehair,Whitehair,22,Whitehair ignores agent,-0.231402519,0.11935654,-0.074872897,-0.323963527,0.167099156,-0.104822055,NAN,,,,,,,
06.24.2022 03:51:22.659,11.00045,Whitehair,Whitehair,21,Whitehair greets agent,-0.219088494,0.119162975,-0.069124167,-0.306723891,0.166828165,-0.096773834,NAN,,,,,,,
06.24.2022 03:51:23.680,12.02088,Whitehair,Whitehair,28,Whitehair ruffles agent's hair,-0.212759656,0.116591918,-0.076164267,-0.297863519,0.163228685,-0.106629974,NAN,,,,,,,
06.24.2022 03:51:24.700,13.04125,Whitehair,-,40,Whitehair gets out of the trash,-0.177121674,0.160762322,-0.072356054,-0.247970343,0.225067251,-0.101298475,NAN,,,,,,,
06.24.2022 03:51:25.725,14.06585,Whitehair,Whitehair,17,Whitehair expels agent from the room,-0.226494375,0.211116585,-0.128014693,-0.317092125,0.295563219,-0.17922057,NAN,,,,,,,
06.24.2022 03:51:26.738,15.07937,Whitehair,-,41,Whitehair ruffles his hair,-0.26751796,0.253055148,-0.120397819,-0.374525144,0.354277207,-0.168556946,NAN,,,,,,,
06.24.2022 03:51:29.543,17.88459,Whitehair,window,38,Whitehair jumps out of the window falls and dies,-0.30496114,0.314531617,-0.001611087,-0.426945596,0.440344263,-0.002255522,NAN,,,,,,,
06.24.2022 03:51:30.560,18.90104,Whitehair,-,36,Whitehair enters the room,-0.30496114,0.314531617,-0.001611087,-0.426945596,0.440344263,-0.002255522,NAN,,,,,,,
06.24.2022 03:51:31.584,19.92456,Whitehair,Whitehair,29,Whitehair slaps agent into the face,-0.325812306,0.326095668,-0.001562755,-0.456137229,0.456533935,-0.002187856,NAN,,,,,,,
06.24.2022 03:51:32.607,20.94802,Whitehair,-,37,Whitehair crawls into the trash,-0.373005444,0.373268971,-0.001453362,-0.522207622,0.522576559,-0.002034707,NAN,,,,,,,
06.24.2022 03:51:33.634,21.97458,Whitehair,Whitehair,34,Whitehair greets agent in response,-0.318497126,0.387150193,-0.026095664,-0.445895977,0.54201027,-0.03653393,NAN,,,,,,,
