02.15.2022 12:56:24.223,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 12:56:27.308,Time From start23.66423First clown,-,4,First clown rips the - off the hanger,-0.00699999998509884,0.00699999998509884,0,-0.00769999998360872,0.00769999998360872,0,NAN,
02.15.2022 12:56:27.876,Time From start24.23192First clown,-,6,First clown takes the -,-0.00699999998509884,0.00699999998509884,0,-0.00769999998360872,0.00769999998360872,0,NAN,
02.15.2022 12:56:30.369,Time From start26.72566First clown,Second clown,19,First clown shows fist to <target>,-0.0277900004540384,0.0217900005732477,-0.0150000005960464,-0.0305690004994422,0.0239690006305724,-0.0165000006556511,NAN,
02.15.2022 12:56:31.404,Time From start27.76067First clown,Second clown,27,First clown points finger at <target>,-0.00338649548641904,0.0709934955584066,-0.0141075005584583,-0.00372514503506094,0.0780928451142472,-0.0155182506143041,NAN,
02.15.2022 12:56:31.926,Time From start28.28228First clown,Second clown,18,First clown fights <target>,-0.0532171707120981,0.117443820780486,-0.0134021255305354,-0.0585388877833079,0.129188202858535,-0.0147423380835889,NAN,
02.15.2022 12:56:32.974,Time From start29.32983First clown,Second clown,32,First clown declines the - offered by <target>,-0.0896175995737948,0.116418607252217,-0.0127373800943952,-0.0985793595311743,0.128060467977439,-0.0140111181038347,NAN,
02.15.2022 12:56:34.007,Time From start30.36351First clown,Second clown,27,First clown points finger at <target>,-0.0907214236243074,0.116254421192149,-0.0126100062915532,-0.0997935659867382,0.127879863311364,-0.0138710069207086,NAN,
02.15.2022 12:56:36.654,Time From start33.01005First clown,Second clown,16,First clown chases <target>,-0.140059282633665,0.134636785924974,-0.0310412942469837,-0.154065210897032,0.148100464517472,-0.0341454236716821,NAN,
02.15.2022 12:56:37.182,Time From start33.53837First clown,Second clown,17,First clown expels <target> from the room,-0.191655727725904,0.186558580832662,-0.0891788189023423,-0.210821300498494,0.205214438915929,-0.0980967007925765,NAN,
02.15.2022 12:56:37.722,Time From start34.07808First clown,Second clown,24,First clown shows middle finger to <target>,-0.206906056142492,0.174961822857462,-0.0955034549442183,-0.227596661756742,0.192458005143208,-0.10505380043864,NAN,
02.15.2022 12:56:38.239,Time From start34.59549First clown,Second clown,34,First clown greets <target> in response,-0.194836995401224,0.172212204573013,-0.0895484203060392,-0.214320694941347,0.189433425030315,-0.0985032623366431,NAN,
02.15.2022 12:56:38.760,Time From start35.11637First clown,Second clown,33,First clown ignores <target>'s greeting,-0.22704351606509,0.169323716406656,-0.125966484036469,-0.249747867671599,0.186256088047321,-0.138563132440116,NAN,
