06.24.2022 03:51:16.195,Time From start,Action author,Action target,Action number,Message,Second clown Appraisals Valence,Second clown Appraisals Arousal,Second clown Appraisals Dominance,Second clown Feelings Valence,Second clown Feelings Arousal,Second clown ,,,Appraisals,,,Feelings,,
06.24.2022 03:51:16.231,4.572371,Redhead,Whitehair,26,Redhead pats agent on a shoulder,-0.038600001,-0.00104,-0.041600001,-0.054040001,-0.001456,-0.058240001,NAN,,Valence,Arousal,Dominance,Valence,Arousal,Dominance
06.24.2022 03:51:17.574,5.915315,Redhead,-,35,Redhead brushed his hair,-0.056767582,0.014791288,-0.039948481,-0.079474614,0.020707804,-0.055927873,NAN,!@.=0G,-0.302572604,0.335029457,-0.040209018,-0.41241467,0.472710629,-0.05573183
06.24.2022 03:51:18.593,6.934524,Redhead,Whitehair,33,Redhead ignores agent's greeting,-0.09587191,0.019017641,-0.077967036,-0.134220674,0.026624697,-0.109153851,NAN,0:A,-0.038600001,0.597784467,0.033780797,0,1,0.047293116
06.24.2022 03:51:19.609,7.949902,Redhead,Whitehair,18,Redhead fights agent,-0.139217531,0.063136091,-0.075227998,-0.194904544,0.088390527,-0.105319197,NAN,8=,-0.52937874,-0.00104,-0.124710156,-0.741130237,-0.001456,-0.174594219
06.24.2022 03:51:20.627,8.967783,Redhead,Whitehair,24,Redhead shows middle finger to agent,-0.156041006,0.055242008,-0.081971159,-0.218457408,0.077338811,-0.114759622,NAN,!@.B:;,0.127258702,0.131700839,0.020349863,0.179706628,0.187314693,0.02887735
06.24.2022 03:51:21.642,9.982856,Redhead,-,36,Redhead enters the room,-0.166359776,0.053584748,-0.079512024,-0.232903686,0.075018647,-0.111316833,NAN,,,,,,,
06.24.2022 03:51:22.660,11.00101,Redhead,Whitehair,21,Redhead greets agent,-0.143149216,0.054508411,-0.067979734,-0.200408903,0.076311776,-0.095171628,NAN,,,,,,,
06.24.2022 03:51:23.680,12.02143,Redhead,-,41,Redhead ruffles his hair,-0.15378337,0.057884061,-0.079813938,-0.215296717,0.081037685,-0.111739513,NAN,,,,,,,
06.24.2022 03:51:24.701,13.04179,Redhead,-,40,Redhead gets out of the trash,-0.121094201,0.104989857,-0.075823241,-0.169531882,0.1469858,-0.106152538,NAN,,,,,,,
06.24.2022 03:51:25.725,14.06643,Redhead,Whitehair,18,Redhead fights agent,-0.215137124,0.200755945,-0.124710156,-0.301191973,0.281058323,-0.174594219,NAN,,,,,,,
